post_id,text,num_likes
2279,😂😂😂,2
2275,,3
2271,,3
2270,,0
2269,😂,0
2268,,2
2267,,2
2266,,1
2265,,1
2264,,0
2263,,4
2262,,2
2261,,0
2260,,1
2259,,1
2258,,0
2257,,1
2256,,1
2255,,1
2254,,0
2253,,1
2252,,3
2251,,1
2250,,3
2249,😂😂😂,4
2248,,0
2247,,1
2246,,1
2245,,0
2244,,2
2243,,0
2242,х,1
2241,,2
2240,,1
2239,,1
2238,,1
2237,,2
2236,,2
2235,,0
2234,,2
2233,,0
2232,,2
2231,,1
2228,,3
2223,,2
2217,,0
2214,,3
2204,,1
2202,,3
2201,,2
2191,,2
2190,,1
2189,,1
2188,,2
2187,,2
2186,,1
2185,,1
2182,,2
2181,,1
2179,,2
2176,,3
2175,,2
2174,,2
2173,,0
2172,,0
2171,,1
2170,,2
2169,,0
2168,,2
2167,,3
2165,,1
2162,,2
2161,,1
2159,Отпуск😍,2
2158,,0
2155,,1
2154,,1
2153,,1
2152,,2
2151,,0
2150,,1
2146,,1
2145,,0
2144,Отпуск😃,1
2143,,1
2142,,1
2141,,1
2139,ХОЧУ В ОТПУСК😊,1
2138,,0
2137,,1
2133,"Как получишь паспорт, береги его...
Поздравляю, доченька😘",3
2132,,0
2131,,2
2128,,1
2127,,2
2126,,0
2125,,1
2124,,0
2123,,0
2122,,1
2121,,0
2120,,3
2119,,3
2118,,0
2117,,3
2116,,1
2115,,2
2114,,1
2113,,0
2112,,1
2111,,1
2110,Выпускной из ясельной группы😃,2
2109,,0
2108,,0
2107,,0
2106,,1
2104,,1
2103,,0
2102,Мой сад😃😃😃,0
2101,,2
2100,,1
2099,,0
2098,,0
2097,,0
2096,,2
2095,,4
2094,День рожденья Насти😉,3
2093,,1
2092,,1
2091,,4
2090,,0
2089,,1
2088,,0
2087,,0
2085,,1
2084,,1
2083,,0
2082,,0
2081,,0
2080,,0
2079,,0
2078,,0
2076,,1
2075,,0
2074,,4
2073,,10
2072,,3
2071,,1
2070,,2
2069,,3
2068,,3
2067,,1
2066,,1
2065,,0
2064,,0
2063,"С днюшкой, Настена!!!",0
2062,,0
2061,,0
2060,,2
2059,точно)),2
2058,,1
2056,,1
2051,,2
2050,,12
2047,,8
2043,,3
2042,,2
2041,На качели))),7
2040,,0
2039,,1
2038,,3
2037,,1
2036,,0
2035,,1
2034,,0
2032,,1
2031,,1
2028,,2
2021,,8
2020,"С ДНЕМ РОЖДЕНИЯ, ДОЧЕНЬКА!!! 
НАМ 6 ЛЕТ)))",12
2019,,0
2018,,0
2017,,1
2016,,0
2015,,0
2014,,0
2013,,3
2012,,4
2008,,4
2004,,1
2003,,3
2002,,1
2001,,0
2000,,0
1999,,2
1998,,0
1997,,1
1996,,2
1995,,0
1994,,3
1993,,0
1992,,0
1991,,0
1990,,2
1989,,2
1988,,1
1987,,1
1986,,0
1985,,1
1984,,0
1983,,2
1982,,0
1981,,1
1980,,3
1979,,2
1977,,1
1976,,2
1975,,2
1974,,0
1973,,2
1972,,2
1971,,2
1970,,0
1969,,2
1968,,0
1967,,0
1965,,3
1964,,2
1963,,0
1962,,2
1961,,1
1960,,1
1959,,0
1958,,1
1957,,2
1956,,0
1955,,0
1954,,1
1953,,2
1952,,0
1951,,2
1950,,2
1949,,0
1948,,1
1947,,1
1946,,0
1945,,1
1944,,1
1943,,1
1942,,1
1941,,1
1940,,3
1939,,1
1937,,2
1936,,2
1935,,1
1934,,1
1933,,2
1932,,1
1931,,1
1930,,0
1929,,0
1928,,8
1927,,1
1926,,1
1925,,1
1924,,0
1922,,0
1919,,0
1918,,15
1917,,8
1916,,1
1915,,0
1914,,0
1913,,1
1911,,0
1910,,2
1909,,1
1908,,0
1907,,0
1906,,1
1904,,1
1884,,0
1883,,0
1882,,0
1881,,1
1880,,1
1879,,1
1878,,0
1877,,1
1876,,2
1875,,1
1874,,2
1873,,0
1872,,1
1871,,3
1869,,0
1868,,0
1867,,2
1864,,0
1863,,0
1862,,1
1858,Грачи прилетели!Даша 3 года,6
1857,,2
1856,,2
1855,,4
1854,,2
1853,,2
1852,,0
1851,,0
1850,,0
1849,,1
1848,,1
1847,,1
1842,,0
1840,,0
1833,"С праздником, девченки!!!",3
1825,,3
1824,,1
1823,,0
1822,,1
1821,,0
1820,,0
1819,,2
1818,,2
1817,,2
1816,,3
1815,,1
1814,,1
1813,,0
1812,,1
1811,,0
1810,,1
1809,,0
1808,,0
1807,,1
1806,,0
1805,,0
1804,,1
1803,,0
1802,,0
1801,,1
1800,,4
1799,,1
1798,,2
1797,,4
1796,,0
1795,,0
1794,Весна пришла! Работы Полины(5лет) и Даши(3 года)))),4
1793,,2
1792,,3
1791,,0
1790,,1
1789,,8
1788,,0
1787,,1
1786,,1
1785,,2
1784,,0
1783,,0
1782,,1
1781,,1
1780,,1
1779,,1
1778,,2
1777,,0
1776,,2
1775,,0
1774,,2
1773,,1
1771,,2
1768,Всех с Днем Святого Валентина!!,8
1760,,0
1759,,0
1756,,3
1755,,1
1750,,0
1746,,0
1745,,1
1737,,2
1736,,3
1730,,1
1721,,1
1711,,1
1704,,2
1702,,1
1698,,0
1689,,2
1678,,0
1673,,0
1660,,2
1658,,2
1653,,3
1652,,3
1639,,2
1626,,2
1625,,0
1624,,3
1607,,1
1605,,3
1601,,2
1597,,6
1588,,0
1577,,0
1573,,0
1566,Нам уже 3 годика!!!,3
1559,,2
1552,,1
1551,,3
1548,,3
1530,,1
1528,,3
1522,,2
1520,,2
1517,,0
1509,,2
1508,,3
1503,,2
1501,,0
1495,,2
1494,,0
1491,,4
1488,,3
1482,,1
1476,,1
1475,,0
1469,,1
1460,,0
1458,,0
1456,,0
1445,,0
1442,ПОМОЩНИЦЫ!!!,8
1438,,1
1436,,0
1435,,0
1434,,2
1423,,2
1420,,2
1419,,0
1418,,0
1417,,0
1416,,1
1415,,1
1414,,1
1413,,0
1412,,1
1411,,0
1410,,1
1409,,1
1407,Я - лидер в 100 уровне!,0
1406,,0
1405,,0
1404,,0
1403,,0
1402,,0
1401,,0
1398,,1
1396,,0
1395,,1
1393,,0
1389,,1
1385,,0
1383,,0
1382,,0
1380,,0
1376,,1
1374,,26
1370,,0
1367,,1
1364,,2
1361,,1
1360,,0
1359,,2
1356,,1
1352,,2
1349,,0
1343,,3
1342,,3
1335,,0
1321,,0
1319,,0
1317,,2
1310,,1
1307,,2
1306,,0
1305,,2
1300,,1
1280,,2
1275,,0
1274,,1
1271,,1
1268,,1
1262,,2
1259,,1
1249,,1
1245,,3
1238,,3
1233,,2
1230,,2
1223,,0
1220,,0
1217,,1
1215,,1
1212,,1
1210,,2
1208,,0
1207,,1
1206,,0
1205,,0
1204,,1
1203,,0
1202,,0
1201,,1
1200,,0
1199,,1
1198,,1
1197,,0
1196,,1
1195,,1
1194,,0
1193,,2
1192,,0
1191,,1
1190,,0
1189,,1
1188,,0
1187,,0
1186,,0
1185,,1
1184,,21
1183,,4
1182,,0
1181,,0
1180,,1
1179,,1
1178,,1
1177,,2
1176,,0
1175,,2
1174,,1
1173,,0
1172,,0
1171,,1
1170,,0
1169,,0
1168,,2
1167,,3
1166,,3
1165,,3
1164,,3
1163,,2
1162,,1
1161,,0
1160,,1
1159,,0
1158,,2
1157,,0
1155,,2
1154,,0
1153,,0
1152,,1
1151,,1
1150,,2
1149,,0
1147,,1
1146,,2
1145,,0
1144,,2
1143,,2
1142,,2
1141,,2
1140,,8
1139,,2
1138,,3
1137,,1
1136,,2
1135,,2
1134,,1
1133,,1
1132,,0
1131,,1
1130,,0
1129,,0
1128,,2
1126,,2
1125,,0
1122,,9
1121,,0
1120,,0
1117,,1
1116,,1
1115,,1
1114,,0
1113,,1
1112,,2
1110,,1
1109,,1
1108,,2
1107,,2
1106,,2
1104,,11
1103,,3
1101,,2
1100,,0
1099,,1
1097,,1
1096,,0
1095,,2
1094,,0
1083,,1
1082,,1
1081,,0
1079,,0
1071,,0
1070,,0
1069,,3
1068,,2
1066,,1
1064,,0
1063,,2
1061,,16
1049,,2
1048,,5
1047,,1
1024,,2
1021,,2
1019,,1
1015,,1
1014,,0
1013,,0
1012,,1
1011,,1
1010,,1
1006,,1
1005,,1
1004,,1
997,,0
992,,1
987,,3
985,,3
983,,1
980,,2
979,,1
973,,4
972,,2
970,,2
969,,0
964,,1
961,,1
960,,2
957,,1
955,,0
954,,0
944,,1
943,,0
940,,2
929,,0
928,,0
927,,1
926,,3
925,,1
924,,1
923,,0
922,,0
921,,0
920,,2
913,,0
912,,6
910,,2
909,,1
908,,1
907,,0
906,,1
904,,0
903,,2
902,,0
901,,0
900,,0
897,,1
895,,2
894,,2
891,,14
890,,0
884,,2
880,,3
878,,0
876,,0
871,,1
862,,0
860,,3
859,,1
858,,1
853,,3
852,,5
851,,5
839,,2
822,,1
806,,2
800,,8
797,,1
796,,5
795,,2
792,,2
790,,1
787,,2
782,,1
779,,1
778,,8
777,,1
775,,2
772,,1
771,,2
770,,1
769,,2
768,,1
767,,1
764,,1
763,,2
762,,0
761,,1
760,,0
759,,1
758,,0
757,,1
756,,2
755,,2
754,,2
753,,1
752,,2
751,,2
750,,2
749,,1
748,,2
747,,1
746,,2
745,,0
744,,1
743,,1
742,,2
741,,1
740,,1
739,,2
738,,1
737,,2
735,,1
734,,2
733,,1
732,,2
731,,1
730,,3
729,,2
724,,2
722,,0
717,,2
715,,2
714,,2
711,)),1
707,,1
705,,2
701,,1
697,,1
685,,1
677,,0
673,,8
666,,2
665,,2
664,,2
658,,2
653,,7
652,,7
651,,9
650,,2
649,,1
647,,1
646,,2
645,,1
644,,1
643,,1
642,,1
637,,2
636,"друзья, кто себя узнал?",2
635,,0
632,,0
630,,1
628,,2
625,,4
623,,2
620,,3
619,,3
618,,4
617,,3
613,,2
606,,10
604,,2
603,,3
582,,2
580,,1
579,,2
576,,2
570,,1
567,,2
554,,1
553,,1
551,,1
548,,1
547,,1
546,,1
545,,4
544,,2
542,,2
539,,2
524,,1
518,,1
517,,2
514,,1
513,,1
512,,1
511,,1
510,,1
509,,1
508,,1
507,,2
506,,1
502,,2
501,,2
499,,13
491,,1
490,,3
489,,1
488,,2
485,Моя доченька,4
483,,3
482,,2
479,,0
478,,0
475,,2
474,,2
473,,2
472,,2
469,,2
468,,1
467,,0
454,,1
453,,1
452,,1
451,,2
448,,0
446,,1
442,,1
441,,1
440,,1
439,,1
438,,1
437,,1
435,,1
434,,2
433,,1
431,,2
430,,2
429,,2
416,,1
415,,2
413,,0
412,,1
408,,3
407,,3
406,,0
405,,0
404,,0
403,,0
402,,2
401,,2
400,,2
398,,2
394,,0
392,😉 Вам открытка —->  ❤ http://vk.com/app1803950 ❤,1
387,,0
384,,0
383,,0
382,,0
378,,1
363,,2
362,,0
361,,0
356,,14
351,,0
350,,0
349,,1
347,,1
346,,0
345,,0
344,,1
343,,1
342,,1
341,,2
339,,2
338,,3
337,,0
335,,0
334,,0
330,,1
329,,0
326,,0
324,,0
323,,2
322,,0
321,,0
319,,0
318,,0
317,,0
316,,0
315,,0
314,,0
